,DispNum3,IncidNum3,DispNum4,IncidNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Duration,TBI,Fatality,FatalPre,Action,HostLev,NumA,RevType1,RevType2,Version,DispNum3,IncidNum3,DispNum4,IncidNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,InSide A,SideA,Fatality,FatalPre,Action,HostLev,RevType1,RevType2,Version
80,3561.0,3561016.0,-9.0,-9.0,17.0,3.0,1993.0,17.0,3.0,1993.0,1.0,1.0,-9.0,-9.0,16.0,4.0,1.0,2.0,1.0,4.01,3552,3552014,-9,-9,IRQ,645,14,1,1993,14,1,1993,0,0,0,0,0,1,0,0,4.01
81,3561.0,3561017.0,-9.0,-9.0,18.0,3.0,1993.0,18.0,3.0,1993.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3552,3552014,-9,-9,FRN,220,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.01
82,3561.0,3561018.0,-9.0,-9.0,19.0,3.0,1993.0,19.0,3.0,1993.0,1.0,0.0,0.0,0.0,12.0,3.0,1.0,2.0,1.0,4.01,3552,3552014,-9,-9,USA,2,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.01
83,3561.0,3561019.0,-9.0,-9.0,19.0,3.0,1993.0,19.0,3.0,1993.0,1.0,13.0,1.0,1.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552014,-9,-9,RUS,365,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.01
84,3561.0,3561020.0,-9.0,-9.0,1.0,4.0,1993.0,1.0,4.0,1993.0,1.0,1.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3552,3552014,-9,-9,UKG,200,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.01
85,3561.0,3561021.0,-9.0,-9.0,2.0,4.0,1993.0,2.0,4.0,1993.0,1.0,90.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.01,3552,3552015,-9,-9,IRQ,645,15,1,1993,15,1,1993,0,0,0,0,0,1,0,0,4.01
86,3561.0,3561022.0,-9.0,-9.0,1.0,7.0,1993.0,1.0,7.0,1993.0,1.0,1.0,-9.0,-9.0,17.0,4.0,1.0,2.0,0.0,4.01,3552,3552015,-9,-9,USA,2,15,1,1993,15,1,1993,1,1,0,0,1,2,2,0,4.01
87,3561.0,3561023.0,-9.0,-9.0,2.0,7.0,1993.0,2.0,7.0,1993.0,1.0,1.0,0.0,0.0,12.0,3.0,1.0,2.0,0.0,4.01,3552,3552016,-9,-9,USA,2,16,1,1993,16,1,1993,0,1,0,0,0,1,0,0,4.01
88,3561.0,3561024.0,-9.0,-9.0,3.0,7.0,1993.0,3.0,7.0,1993.0,1.0,115.0,-9.0,-9.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552016,-9,-9,IRQ,645,16,1,1993,16,1,1993,1,0,0,0,1,2,2,0,4.01
89,3561.0,3561025.0,-9.0,-9.0,26.0,10.0,1993.0,26.0,10.0,1993.0,1.0,0.0,0.0,0.0,16.0,4.0,1.0,2.0,0.0,4.01,3552,3552017,-9,-9,IRQ,645,17,1,1993,21,1,1993,0,0,-9,-9,17,4,2,0,4.01
90,3561.0,3561026.0,-9.0,-9.0,26.0,10.0,1993.0,26.0,10.0,1993.0,1.0,-9.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,4.01,3552,3552017,-9,-9,USA,2,17,1,1993,21,1,1993,1,1,0,0,17,4,2,0,4.01
91,3564.0,3564001.0,-9.0,-9.0,26.0,1.0,1992.0,26.0,1.0,1992.0,1.0,7.0,-9.0,-9.0,17.0,4.0,1.0,1.0,0.0,4.01,3552,3552018,-9,-9,USA,2,17,1,1993,17,1,1993,0,1,0,0,17,4,4,0,4.01
